ID	CLASSIFI	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
18	一、自然/小雨	細雨	细雨	ɬɐi33 y23	ɬɐi33 jy24	slai3 jyu5	P1082	小雨	
19	一、自然/毛毛雨	溦溦雨	溦溦雨	mi55 mi55 y23	mi55 mi55 jy24	mi1 mi1 jyu5	P1084	毛毛雨	原文[mi55]有音無字
20	一、自然/下雨	落雨	落雨	lɔk2 y23	lɔk2 jy24	lok6 jyu5	P1084	下雨	
21	一、自然/雨停了	雨停了	雨停了	y23 tʰiŋ21 liu23	jy24 tʰeŋ21 liu24	jyu5 ting4 liu5	P1084	雨停了	
22	一、自然/下雪	落雪	落雪	lɔk2 ɬyt3	lɔk2 ɬyt3	lok6 slyut3	P1086	下雪	
23	一、自然/結冰	結冰	结冰	kit3 piŋ55	kit3 peŋ55	git3 bing1	P1086	結冰	
24	一、自然/冰雹	冰雹	冰雹	piŋ55 pɔk2	peŋ55 pɔk2	bing1 bok6	P1086	冰雹	
25	一、自然/露水	霧水	雾水	mu22 ʃui35	mu22 ʃui35	mu6 sui2	P1088	露水	
26	一、自然/霧	霧	雾	mu22	mu22	mu6	P1088	霧	
27	一、自然/虹	虹	虹	kɔŋ33	kɔŋ33	gong3	P1088	虹	
28	一、自然/天氣	天氣	天气	tʰin55 hi33	tʰin55 hi33	tin1 hi3	P1090	天氣	
29	一、自然/晴天	晴天	晴天	tʃʰiŋ21 tʰin55	tʃʰeŋ21 tʰin55	cing4 tin1	P1090	晴天	
30	一、自然/陰天	陰天	阴天	iɐm55 tʰin55	jɐm55 tʰin55	jam1 tin1	P1090	陰天	
31	一、自然/雨天	落雨天	落雨天	lɔk2 y23 tʰin55	lɔk2 jy24 tʰin55	lok6 jyu5 tin1	P1092	雨天	
32	一、自然/發大水	發大水	发大水	fat3 tai22 ʃui35	fat3 tai22 ʃui35	faat3 daai6 sui2	P1092	發大水	
33	一、自然/田地	田地	田地	tʰin21 ti22	tʰin21 ti22	tin4 di6	P1092	田地	
34	一、自然/斜坡	坽	坽	liŋ33	leŋ33	ling3	P1094	斜坡	原文有音無字
35	一、自然/山峯	山頭	山头	ʃan55 tʰɐu21	ʃan55 tʰɐu21	saan1 tau4	P1094	山峯	
36	一、自然/山腰	山腰	山腰	ʃan55 iu55	ʃan55 jiu55	saan1 jiu1	P1094	山腰	
37	一、自然/山洞	山岩	山岩	ʃan55 ŋam21	ʃan55 ŋam21	saan1 ngaam4	P1096	山洞	
38	一、自然/山腳	山腳	山脚	ʃan55 kœk3	ʃan55 kœk3	saan1 goek3	P1096	山腳	
39	一、自然/河	河	河	hɔ21	hɔ21	ho4	P1096	河	
40	一、自然/河堤	河堤	河堤	hɔ21 tʰɐi21	hɔ21 tʰɐi21	ho4 tai4	P1098	河堤	
41	一、自然/渡口	渡口	渡口	tu22 hɐu35	tu22 hɐu35	du6 hau2	P1098	渡口	
42	一、自然/河灘	灘	滩	tʰan55	tʰan55	taan1	P1098	河灘	
43	一、自然/水坑	氹	氹	tʰɐm23	tʰɐm24	tam5	P1100	水坑	
44	一、自然/池塘	塘	塘	tʰɔŋ21	tʰɔŋ21	tong4	P1100	池塘	
45	一、自然/水井	水井	水井	ʃui35 tʃiŋ35	ʃui35 tʃeŋ35	sui2 zing2	P1100	水井	
46	一、自然/石頭	石頭	石头	ʃɛk2 tʰɐu21	ʃɛk2 tʰɐu21	sek6 tau4	P1102	石頭	
47	一、自然/沙子	沙	沙	ʃa55	ʃa55	saa1	P1102	沙子	
48	一、自然/磚頭	磚頭	砖头	tʃyn55 tʰɐu21	tʃyn55 tʰɐu21	zyun1 tau4	P1102	磚頭	原文「頭」字誤作[tʰɐu31]
49	一、自然/瓦塊	瓦	瓦	ŋa23	ŋa24	ngaa5	P1104	瓦塊	
50	一、自然/灰塵	灰塵	灰尘	fui55 tʃʰɐn21	fui55 tʃʰɐn21	fui1 can4	P1104	灰塵	
51	一、自然/水泥	紅毛泥	红毛泥	huŋ21 mu21 nɐi21	hʊŋ21 mu21 nɐi21	hung4 mu4 nai4	P1104	水泥	
52	一、自然/泥土	泥	泥	nɐi21	nɐi21	nai4	P1106	泥土	
53	一、自然/涼水	凍水	冻水	tuŋ33 ʃui35	tʊŋ33 ʃui35	dung3 sui2	P1106	涼水	
54	一、自然/熱水	熱水	热水	it2 ʃui35	jit2 ʃui35	jit6 sui2	P1106	熱水	
55	一、自然/金子	金	金	kɐm55	kɐm55	gam1	P1108	金子	
56	一、自然/銀子	銀	银	ŋɐn21	ŋɐn21	ngan4	P1108	銀子	
57	一、自然/銅	銅	铜	tʰuŋ21	tʰʊŋ21	tung4	P1108	銅	
58	一、自然/鐵	鐵	铁	tʰit3	tʰit3	tit3	P1110	鐵	
59	一、自然/錫	錫	锡	ɬɛk3	ɬɛk3	slek3	P1110	錫	
60	一、自然/磁石	攝石	摄石	ʃip3 ʃɛk2	ʃip3 ʃɛk2	sip3 sek6	P1110	磁石	
61	一、自然/煤	煤	煤	mui21	mui21	mui4	P1112	煤	
62	一、自然/煤油	火水油	火水油	fɔ35 ʃui35 iɐu21	fɔ35 ʃui35 jɐu21	fo2 sui2 jau4	P1112	煤油	
63	一、自然/火焰	火焰	火焰	fɔ35 im21	fɔ35 jim21	fo2 jim4	P1112	火焰	原文「焰」字作[jim21]
64	一、自然/火煙	火煙	火烟	fɔ35 in55	fɔ35 jin55	fo2 jin1	P1114	火煙	
65	一、自然/地方	定	定	tɛŋ22	tɛŋ22	deng6	P1114	地方	原文有音無字
66	一、自然/城鎮	城鎮	城镇	ʃiŋ21 tʃɐn33	ʃeŋ21 tʃɐn33	sing4 zan3	P1114	城鎮	
67	一、自然/鄉村	村下	村下	tʃʰyn55 ha35	tʃʰyn55 ha35	cyun1 haa2	P1116	鄉村	
68	一、自然/衚衕	巷	巷	hɔŋ35	hɔŋ35	hong2	P1116	衚衕	
69	一、自然/岔路	岔路	岔路	tʃʰa33 lu22	tʃʰa33 lu22	caa3 lu6	P1116	岔路	
70	一、自然/大路	大路	大路	tai22 lu22	tai22 lu22	daai6 lu6	P1118	大路	
71	一、自然/小路	西路	西路	ɬɐi55 lu22	ɬɐi55 lu22	slai1 lu6	P1118	小路	
72	一、自然/縫兒	罅	罅	lɛ33	lɛ33	le3	P1118	縫兒	原文有音無字
73	二、時令/春節	過年	过年	kɔ33 nin21	kɔ33 nin21	go3 nin4	P1120	春節	
74	二、時令/除夕	年三十晚	年三十晚	nin21 ɬam33 ʃɐp2 man23	nin21 ɬam33 ʃɐp2 man24	nin4 slaam3 sap6 maan5	P1120	除夕	
75	二、時令/元旦	元旦	元旦	yn21 tan33	jyn21 tan33	jyun4 daan3	P1120	元旦	
76	二、時令/元宵節	十五	十五	ʃɐp2 ŋ̍23	ʃɐp2 ŋ̍24	sap6 ng5	P1122	元宵節	
77	二、時令/元宵	水圓	水圆	ʃui35 yn21	ʃui35 jyn21	sui2 jyun4	P1122	元宵	
78	二、時令/端午節	五月初五	五月初五	ŋ̍23 yt2 tʃʰɔ55 ŋ̍23	ŋ̍24 jyt2 tʃʰɔ55 ŋ̍24	ng5 jyut6 co1 ng5	P1122	端午節	
79	二、時令/糉子	糉	粽	tʃuŋ33	tʃʊŋ33	zung3	P1124	糉子	
80	二、時令/中秋節	八月十五	八月十五	pɛt3 yt2 ʃɐp2 ŋ̍23	pɛt3 jyt2 ʃɐp2 ŋ̍24	bet3 jyut6 sap6 ng5	P1124	中秋節	
81	二、時令/重陽節	九月九	九月九	kɐu35 yt2 kɐu35	kɐu35 jyt2 kɐu35	gau2 jyut6 gau2	P1124	重陽節	
82	二、時令/曆書	通書	通书	tʰuŋ55 ʃy55	tʰʊŋ55 ʃy55	tung1 syu1	P1126	曆書	
83	二、時令/時候	時候	时候	ʃi21 hɐu22	ʃi21 hɐu22	si4 hau6	P1126	時候	
84	二、時令/今年	今年	今年	kɐm55 nin21	kɐm55 nin21	gam1 nin4	P1126	今年	
85	二、時令/去年	舊年	旧年	kɐu22 nin21	kɐu22 nin21	gau6 nin4	P1128	去年	
86	二、時令/明年	明年	明年	miŋ21 nin21	meŋ21 nin21	ming4 nin4	P1128	明年	
87	二、時令/前年	前年	前年	tʃʰin21 nin21	tʃʰin21 nin21	cin4 nin4	P1128	前年	
88	二、時令/往年	往年	往年	uɔŋ23 nin21	wɔŋ24 nin21	wong5 nin4	P1130	往年	
89	二、時令/年初	年初	年初	nin21 tʃʰɔ55	nin21 tʃʰɔ55	nin4 co1	P1130	年初	
90	二、時令/年底	年底	年底	nin21 tɐi35	nin21 tɐi35	nin4 dai2	P1130	年底	
91	二、時令/月初	月初	月初	yt2 tʃʰɔ55	jyt2 tʃʰɔ55	jyut6 co1	P1132	月初	
92	二、時令/月底	月底	月底	yt2 tɐi35	jyt2 tɐi35	jyut6 dai2	P1132	月底	
93	二、時令/這個月	箇個月	个个月	kɔ33 kɔ33 yt2	kɔ33 kɔ33 jyt2	go3 go3 jyut6	P1132	這個月	原文第一個[kɔ33]有音無字
94	二、時令/上個月	上個月	上个月	ʃœŋ22 kɔ33 yt2	ʃœŋ22 kɔ33 jyt2	soeng6 go3 jyut6	P1134	上個月	
95	二、時令/下個月	下個月	下个月	ha22 kɔ33 yt2	ha22 kɔ33 jyt2	haa6 go3 jyut6	P1134	下個月	
96	二、時令/正月	正月	正月	tʃiŋ55 yt2	tʃeŋ55 jyt2	zing1 jyut6	P1134	正月	
97	二、時令/臘月	十二月	十二月	ʃɐp2 i22 yt2	ʃɐp2 ji22 jyt2	sap6 ji6 jyut6	P1136	臘月	
98	二、時令/星期一	星期一	星期一	ɬiŋ55 kʰi21 iɐt5	ɬeŋ55 kʰi21 jɐt5	sling1 ki4 jat1	P1136	星期一	
99	二、時令/星期天	星期日	星期日	ɬiŋ55 kʰi21 iɐt2	ɬeŋ55 kʰi21 jɐt2	sling1 ki4 jat6	P1136	星期天	
100	二、時令/今天	今日	今日	kɐm55 iɐt2	kɐm55 jɐt2	gam1 jat6	P1138	今天	
101	二、時令/明天	聽日	听日	tʰiŋ55 iɐt2	tʰeŋ55 jɐt2	ting1 jat6	P1138	明天	原文[tʰiŋ55]有音無字
102	二、時令/後天	後日	后日	hɐu22 iɐt2	hɐu22 jɐt2	hau6 jat6	P1138	後天	
103	二、時令/大後天	大後日	大后日	tai22 hɐu22 iɐt2	tai22 hɐu22 jɐt2	daai6 hau6 jat6	P1140	大後天	原文「大」字誤作[tʰai22]
104	二、時令/昨天	昨日	昨日	tʃɔ22 iɐt2	tʃɔ22 jɐt2	zo6 jat6	P1140	昨天	原文[tʃɔ22]有音無字
105	二、時令/前天	前日	前日	tʃʰin21 iɐt5	tʃʰin21 jɐt5	cin4 jat1	P1140	前天	
106	二、時令/大前天	大前日	大前日	tai22 tʃʰin21 iɐt2	tai22 tʃʰin21 jɐt2	daai6 cin4 jat6	P1142	大前天	
107	二、時令/上午	上午	上午	ʃœŋ22 ŋ̍23	ʃœŋ22 ŋ̍24	soeng6 ng5	P1142	上午	
108	二、時令/下午	下午	下午	ha22 ŋ̍23	ha22 ŋ̍24	haa6 ng5	P1142	下午	
109	二、時令/半天	半日	半日	pun33 iɐt2	pun33 jɐt2	bun3 jat6	P1144	半天	
110	二、時令/清晨	朝頭早	朝头早	tʃiu55 tʰɐu21 tʃu35	tʃiu55 tʰɐu21 tʃu35	ziu1 tau4 zu2	P1144	清晨	
111	二、時令/中午	晏中	晏中	an33 tʃuŋ55	an33 tʃʊŋ55	aan3 zung1	P1144	中午	
112	二、時令/白天	白日	白日	pak2 iɐt2	pak2 jɐt2	baak6 jat6	P1146	白天	
113	二、時令/傍晚	霎黑	霎黑	ɬap3 hɐk5	ɬap3 hɐk5	slaap3 hak1	P1146	傍晚	原文[ɬap3]有音無字
114	二、時令/夜裏	夜晚	夜晚	iɛ22 man23	jɛ22 man24	je6 maan5	P1146	夜裏	
115	二、時令/今天早上	今朝早	今朝早	kɐm55 tʃiu55 tʃu35	kɐm55 tʃiu55 tʃu35	gam1 ziu1 zu2	P1148	今天早上	
116	二、時令/明天早上	聽朝早	听朝早	tʰiŋ55 tʃiu55 tʃu35	tʰeŋ55 tʃiu55 tʃu35	ting1 ziu1 zu2	P1148	明天早上	原文[tʰiŋ55]有音無字
117	二、時令/今天晚上	今晚	今晚	kɐm55 man23	kɐm55 man24	gam1 maan5	P1148	今天晚上	
118	二、時令/明天晚上	聽晚	听晚	tʰiŋ55 man23	tʰeŋ55 man24	ting1 maan5	P1150	明天晚上	原文[tʰiŋ55]有音無字
119	二、時令/後天晚上	後晚	后晚	hɐu22 man23	hɐu22 man24	hau6 maan5	P1150	後天晚上	
120	二、時令/昨天晚上	昨晚	昨晚	tʃɔ22 man23	tʃɔ22 man24	zo6 maan5	P1150	昨天晚上	原文[tʃɔ22]有音無字
121	二、時令/前天晚上	前晚	前晚	tʃʰin21 man23	tʃʰin21 man24	cin4 maan5	P1152	前天晚上	
122	二、時令/整夜	冚晚	冚晚	hɐm21 man23	hɐm21 man24	ham4 maan5	P1152	整夜	原文[hɐm21]有音無字
123	二、時令/整天	冚日	冚日	hɐm21 iɐt2	hɐm21 jɐt2	ham4 jat6	P1152	整天	原文[hɐm21]有音無字
124	二、時令/整年	冚年	冚年	hɐm21 nin21	hɐm21 nin21	ham4 nin4	P1154	整年	原文[hɐm21]有音無字
125	二、時令/哪天	邊日	边日	pin55 iɐt2	pin55 jɐt2	bin1 jat6	P1154	哪天	原文[pin55]有音無字
126	二、時令/多少天？	幾多日	几多日	ki35 tɔ55 iɐt2	ki35 tɔ55 jɐt2	gi2 do1 jat6	P1154	多少天？	
127	二、時令/哪個月？	邊個月	边个月	pin55 kɔ33 yt2	pin55 kɔ33 jyt2	bin1 go3 jyut6	P1156	哪個月？	原文[pin55]有音無字
128	二、時令/幾個月？	幾多個月	几多个月	ki35 tɔ55 kɔ33 yt2	ki35 tɔ55 kɔ33 jyt2	gi2 do1 go3 jyut6	P1156	幾個月？	
129	二、時令/什麼時候	邊時	边时	pin55 ʃi21	pin55 ʃi21	bin1 si4	P1156	什麼時候	原文[pin55]有音無字
130	三、農事/種田	種田	种田	tʃuŋ33 tʰin21	tʃʊŋ33 tʰin21	zung3 tin4	P1158	種田	
131	三、農事/播種	撒種	撒种	ɬat3 tʃuŋ35	ɬat3 tʃʊŋ35	slaat3 zung2	P1158	播種	
132	三、農事/拔秧	掹秧	掹秧	mɐŋ55 iœŋ55	mɐŋ55 jœŋ55	mang1 joeng1	P1158	拔秧	原文[mɐŋ55]有音無字
133	三、農事/除草	除草	除草	tʃʰy21 tʃʰu35	tʃʰy21 tʃʰu35	cyu4 cu2	P1160	除草	
134	三、農事/插秧	插秧	插秧	tʃʰɛp3 iœŋ55	tʃʰɛp3 jœŋ55	cep3 joeng1	P1160	插秧	
135	三、農事/施肥	施肥	施肥	ʃi55 fi21	ʃi55 fi21	si1 fi4	P1160	施肥	原文「肥」字誤作[fi31]
136	三、農事/揚花	揚花	扬花	iœŋ21 ua55	jœŋ21 wa55	joeng4 waa1	P1162	揚花	
137	三、農事/割稻子	割穀	割谷	kɔt3 kuk5	kɔt3 kʊk5	got3 guk1	P1162	割稻子	
138	三、農事/稻草	禾稈	禾秆	uɔ21 kɔn35	wɔ21 kɔn35	wo4 gon2	P1162	稻草	原文「稈」字誤作[kan35]
139	三、農事/稻草垛	禾稈堆	禾秆堆	uɔ21 kɔn35 tui55	wɔ21 kɔn35 tui55	wo4 gon2 dui1	P1164	稻草垛	原文「稈」字誤作[kan35]
140	三、農事/早季	早造	早造	tʃu35 tʃu22	tʃu35 tʃu22	zu2 zu6	P1164	早季	原文作「早糙」
141	三、農事/晚季	晚造	晚造	man23 tʃu22	man24 tʃu22	maan5 zu6	P1164	晚季	原文作「晚糙」
142	三、農事/鋤頭	鋤頭	锄头	tʃʰɔ21 tʰɐu21	tʃʰɔ21 tʰɐu21	co4 tau4	P1166	鋤頭	
143	三、農事/鋤地	鋤地	锄地	tʃʰɔ21 ti22	tʃʰɔ21 ti22	co4 di6	P1166	鋤地	
144	三、農事/鐮刀	鐮刀	镰刀	lim21 tu55	lim21 tu55	lim4 du1	P1166	鐮刀	
145	三、農事/舂米	舂米	舂米	tʃʰuŋ55 mɐi23	tʃʰʊŋ55 mɐi24	cung1 mai5	P1168	舂米	
146	三、農事/碾米	車米	车米	tʃʰɛ55 mɐi23	tʃʰɛ55 mɐi24	ce1 mai5	P1168	碾米	
147	三、農事/篩子	篩	筛	ʃɐi55	ʃɐi55	sai1	P1168	篩子	
148	三、農事/篩米	篩米	筛米	ʃɐi55 mɐi23	ʃɐi55 mɐi24	sai1 mai5	P1170	篩米	
149	三、農事/扁擔	擔潤	担润	tam33 yn35	tam33 jyn35	daam3 jyun2	P1170	扁擔	原文[jyn35]有音無字
150	三、農事/挑擔子	擔擔	担担	tam55 tam33	tam55 tam33	daam1 daam3	P1170	挑擔子	
151	三、農事/掃帚（大）	掃把	扫把	ɬu33 pa35	ɬu33 pa35	slu3 baa2	P1172	掃帚（大）	
152	三、農事/笤帚（小）	掃把	扫把	ɬu33 pa35	ɬu33 pa35	slu3 baa2	P1172	笤帚（小）	
153	三、農事/雞毛撣子	雞毛掃	鸡毛扫	kɐi55 mu21 ɬu33	kɐi55 mu21 ɬu33	gai1 mu4 slu3	P1172	雞毛撣子	
154	三、農事/木樁	木樁	木桩	muk2 tʃɔŋ55	mʊk2 tʃɔŋ55	muk6 zong1	P1174	木樁	
155	三、農事/榫頭	榫頭	榫头	ɬɐn35 tʰɐu21	ɬɐn35 tʰɐu21	slan2 tau4	P1174	榫頭	
156	三、農事/釘釘子	釘釘	钉钉	tɛŋ55 tɛŋ55	tɛŋ55 tɛŋ55	deng1 deng1	P1174	釘釘子	
157	三、農事/鉗子	鉗	钳	kʰɛm21	kʰɛm21	kem4	P1176	鉗子	
158	三、農事/錘子	錘	锤	tʃʰui21	tʃʰui21	cui4	P1176	錘子	
159	三、農事/繩子	索	索	ɬɔk3	ɬɔk3	slok3	P1176	繩子	
160	三、農事/罈子	䍇	䍇	tʰap3	tʰap3	taap3	P1178	罈子	原文作「塔」字
161	三、農事/自行車	單車	单车	tan55 tʃʰɛ55	tan55 tʃʰɛ55	daan1 ce1	P1178	自行車	
162	三、農事/車輪	車轆	车辘	tʃʰɛ55 luk5	tʃʰɛ55 lʊk5	ce1 luk1	P1178	車輪	
163	三、農事/艇	艇	艇	tʰɛŋ23	tʰɛŋ24	teng5	P1180	艇	
164	三、農事/長槳	長槳	长桨	tʃʰœŋ21 tʃœŋ35	tʃʰœŋ21 tʃœŋ35	coeng4 zoeng2	P1180	長槳	
165	三、農事/短槳	短槳	短桨	tyn35 tʃœŋ35	tyn35 tʃœŋ35	dyun2 zoeng2	P1180	短槳	
166	三、農事/划艇	棹艇	棹艇	tʃɛu22 tʰɛŋ23	tʃɛu22 tʰɛŋ24	zeu6 teng5	P1182	划艇	原文[tʃɛu22]有音無字
167	三、農事/梯子	梯	梯	tʰɐi55	tʰɐi55	tai1	P1182	梯子	
168	三、農事/籃子	籃	篮	lam21	lam21	laam4	P1182	籃子	
169	三、農事/鏟子	鏟	铲	tʃʰɛn35	tʃʰɛn35	cen2	P1184	鏟子	
170	三、農事/鋸子	鋸	锯	ky33	ky33	gyu3	P1184	鋸子	
171	三、農事/糞坑	糞坑	粪坑	fɐn33 haŋ55	fɐn33 haŋ55	fan3 haang1	P1184	糞坑	
172	四、植物/麥穗	麥串	麦串	mɐk2 tʃʰyn33	mɐk2 tʃʰyn33	mak6 cyun3	P1186	麥穗	
173	四、植物/稻子	穀	谷	kuk5	kʊk5	guk1	P1186	稻子	
174	四、植物/稻殼	穀甲	谷甲	kuk5 lɛp3	kʊk5 lɛp3	guk1 lep3	P1186	稻殼	原文[lɛp3]有音無字
175	四、植物/玉米	玉米	玉米	y22 mɐi23	jy22 mɐi24	jyu6 mai5	P1188	玉米	
176	四、植物/秕穀	稃穀	稃谷	pʰɛu21 kuk5	pʰɛu21 kʊk5	peu4 guk1	P1188	秕穀	原文[pʰɛu21]有音無字
177	四、植物/稗子	稗子	稗子	pai22 tsɿ35	pai22 tsɿ35	baai6 zy2	P1188	稗子	
178	四、植物/粳米	粳米	粳米	kɐŋ55 mɐi23	kɐŋ55 mɐi24	gang1 mai5	P1190	粳米	
179	四、植物/糯米	糯米	糯米	nɔ22 mɐi23	nɔ22 mɐi24	no6 mai5	P1190	糯米	
180	四、植物/芝麻	芝麻	芝麻	tʃi55 ma21	tʃi55 ma21	zi1 maa4	P1190	芝麻	
181	四、植物/黃豆	黃豆	黄豆	uɔŋ21 tɐu22	wɔŋ21 tɐu22	wong4 dau6	P1192	黃豆	
182	四、植物/黑豆	黑豆	黑豆	hɐk5 tɐu22	hɐk5 tɐu22	hak1 dau6	P1192	黑豆	
183	四、植物/白茹	番薯	番薯	fan55 ʃy21	fan55 ʃy21	faan1 syu4	P1192	白茹	
184	四、植物/馬鈴茹	馬鈴薯	马铃薯	ma23 liŋ21 ʃy21	ma24 leŋ21 ʃy21	maa5 ling4 syu4	P1194	馬鈴茹	
185	四、植物/芋頭	芋頭	芋头	u21 tʰɐu21	wu21 tʰɐu21	wu4 tau4	P1194	芋頭	原文[wu21]有音無字，「芋」受後字調類化爲陽平
186	四、植物/藕	藕	藕	ŋɐu23	ŋɐu24	ngau5	P1194	藕	
187	四、植物/蓮子	蓮子	莲子	lin21 tsɿ35	lin21 tsɿ35	lin4 zy2	P1196	蓮子	
188	四、植物/茄子	矮瓜	矮瓜	ɐi35 kʷa55	ɐi35 kʷa55	ai2 gwaa1	P1196	茄子	
189	四、植物/絲瓜	絲瓜	丝瓜	sɿ55 kʷa55	sɿ55 kʷa55	sy1 gwaa1	P1196	絲瓜	
190	四、植物/南瓜	南瓜	南瓜	nam21 kʷa55	nam21 kʷa55	naam4 gwaa1	P1198	南瓜	
191	四、植物/蔥	蔥	葱	tʃʰuŋ55	tʃʰʊŋ55	cung1	P1198	蔥	
192	四、植物/洋蔥	洋蔥	洋葱	iœŋ21 tʃʰuŋ55	jœŋ21 tʃʰʊŋ55	joeng4 cung1	P1198	洋蔥	
193	四、植物/蒜	蒜	蒜	ɬyn33	ɬyn33	slyun3	P1200	蒜	
194	四、植物/韭黃	韭黃	韭黄	kɐu35 uɔŋ21	kɐu35 wɔŋ21	gau2 wong4	P1200	韭黃	
195	四、植物/莧菜	莧菜	苋菜	hɛn21 tʃʰɔi33	hɛn21 tʃʰɔi33	hen4 coi3	P1200	莧菜	
196	四、植物/西紅柿	番茄	番茄	fan55 kʰɛ21	fan55 kʰɛ21	faan1 ke4	P1202	西紅柿	
197	四、植物/薑	薑	姜	kœŋ55	kœŋ55	goeng1	P1202	薑	
198	四、植物/辣椒	辣椒	辣椒	lat2 tʃiu55	lat2 tʃiu55	laat6 ziu1	P1202	辣椒	
199	四、植物/菠菜	菠菜	菠菜	pɔ55 tʃʰɔi33	pɔ55 tʃʰɔi33	bo1 coi3	P1204	菠菜	
200	四、植物/洋白菜	椰菜	椰菜	iɛ21 tʃʰɔi33	jɛ21 tʃʰɔi33	je4 coi3	P1204	洋白菜	
201	四、植物/蘿蔔	蘿蔔	萝卜	lɔ21 pʰuk5	lɔ21 pʰʊk5	lo4 puk1	P1204	蘿蔔	原文如此，誤讀「卜」音
202	四、植物/蘿蔔纓兒	蘿蔔纓	萝卜缨	lɔ21 pʰuk5 iŋ55	lɔ21 pʰʊk5 jeŋ55	lo4 puk1 jing1	P1206	蘿蔔纓兒	原文如此，誤讀「卜」音
203	四、植物/蘿蔔乾兒	蘿蔔乾	萝卜干	lɔ21 pʰuk5 kɔn55	lɔ21 pʰʊk5 kɔn55	lo4 puk1 gon1	P1206	蘿蔔乾兒	原文如此，誤讀「卜」音
204	四、植物/胡蘿蔔	胡蘿蔔	胡萝卜	u21 lɔ21 pʰuk5	wu21 lɔ21 pʰʊk5	wu4 lo4 puk1	P1206	胡蘿蔔	原文如此，誤讀「卜」音
205	四、植物/茭白	茭白	茭白	kɛu55 pak2	kɛu55 pak2	geu1 baak6	P1208	茭白	
206	四、植物/大白菜	京白菜	京白菜	kiŋ55 pak2 tʃʰɔi33	keŋ55 pak2 tʃʰɔi33	ging1 baak6 coi3	P1208	大白菜	
207	四、植物/西洋菜	西洋菜	西洋菜	ɬɐi55 iœŋ21 tʃʰɔi33	ɬɐi55 jœŋ21 tʃʰɔi33	slai1 joeng4 coi3	P1208	西洋菜	
208	四、植物/香菜	芫荽	芫荽	im21 ɬɐi55	jim21 ɬɐi55	jim4 slai1	P1210	香菜	
209	四、植物/樹苗	樹苗	树苗	ʃy22 miu21	ʃy22 miu21	syu6 miu4	P1210	樹苗	
210	四、植物/種樹	種樹	种树	tʃuŋ33 ʃy22	tʃʊŋ33 ʃy22	zung3 syu6	P1210	種樹	
211	四、植物/松樹	松樹	松树	tʃʰuŋ21 ʃy22	tʃʰʊŋ21 ʃy22	cung4 syu6	P1212	松樹	
212	四、植物/松果	松果	松果	tʃʰuŋ21 kɔ35	tʃʰʊŋ21 kɔ35	cung4 go2	P1212	松果	
213	四、植物/杉樹	杉樹	杉树	tʃʰam33 ʃy22	tʃʰam33 ʃy22	caam3 syu6	P1212	杉樹	
214	四、植物/木杉	杉木	杉木	tʃʰam33 muk2	tʃʰam33 mʊk2	caam3 muk6	P1214	木杉	
